#,Title,Alert Type,Status,Start,End,Latitude,Longitude,Source,Description,ID
112,Cierre carretero.,safety,PAST,2026-02-22 23:58,2026-02-23 03:58,18.72340366,-100.9494782,Aliados en ruta. En proceso de validación,Cierre de carretera por incidente violento ,f2a30387-305c-4a1f-b0ed-9c1af9c6b088
113,🚨⚠️🔫 Situación de riesgo por quema de banco del Bienestar JALISCO,safety,PAST,2026-02-22 21:32,2026-02-23 00:00,22.62736189,-103.8975797,C3ntro,"Banco del Bienestar en Huejuquilla, situación de riesgo debido a quema de instalaciones. ",2a88e703-fd7e-4a9f-8f8a-2b3c948305bb
114,"🚨⚠️🚫 Nuevo operativo militar en la ciudad El Grullo, Jalisco.",safety,PAST,2026-02-23 00:00,2026-02-23 05:00,19.80077515,-104.2239087,C3ntro,"Se está llevando a cabo una operación militar especial en la ciudad de El GRULLO, estado de JALISCO, que involucra un helicóptero UH-60M BLACK HAWK y un EC725 COUGAR de la Fuerza Aérea Mexicana (ubicación aproximada).",a56433c3-3c41-46f0-8090-8bb57c3da13e
115,Carga vehicular en la autopista,vial,PAST,2026-02-23 00:14,2026-02-23 04:14,19.0571775,-99.2408406,Twitter,Carga vehicular en la autopista dirección cdmx,23c3e1ab-2e89-4dbc-9fe4-1c66f06ddb8e
116,Quema del Banco del Bienestar de Tabasco,safety,PAST,2026-02-22 20:30,2026-02-23 00:30,21.87763728,-102.9075011,Aliados en ruta. En proceso de validación,Quema del Banco,f689d298-59fb-44ef-97f4-4472083e9afe
117,Accidente Vial en Jalisco,vial,PAST,2026-02-23 00:47,2026-02-23 04:47,20.8040637,-101.4344902,Twitter,Accidente vial cerca del km 27.530 en la carretera salamanca - león.,016a6f18-d952-42ea-b3b3-953d16a135b2
118,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.74117389,-103.4074641,C3ntro,"Juan Gil Preciado y Arco del Triunfo, situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB
",5e0045d8-8397-4d19-9d81-8abe2047726f
119,Intento de quema a la farmacia guadalajara,safety,PAST,2026-02-23 00:47,2026-02-23 00:50,20.37297087,-102.0259142,C3ntro,Farmacia guadalajara quemada,9615ec39-7d36-467a-8558-ef5eee1e9a26
120,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.75306969,-103.4031394,C3ntro,"Av. Patria y Av. Federalismo, situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB
",c77611e7-682f-4e33-a4eb-293a160f8575
121,Quema de un Oxxo,safety,PAST,2026-02-22 23:00,2026-02-23 00:00,21.6505126,-102.9678701,C3ntro,"Quema de un Oxxo, a la altura de la gasolinera BP, Los Santiagos, Jalpa, Zacatecas",78b185fe-2568-4693-a1d7-e546f65a7bbf
122,Resguardo,general,PAST,2026-02-23 01:14,2026-02-23 05:14,18.7279908,-98.9600975,Aliados en ruta. En proceso de validación,"Bombas,carreteras cerradas",7cbfb908-a84d-4b1f-a671-ec23a7a4f9f4
123,Gasolinera incendiada,safety,PAST,2026-02-22 22:50,2026-02-23 00:50,20.6312115,-103.4320938,C3ntro,El narco quemó la carretera,5d47c0e0-a03b-4890-8551-a2cd9f4f2bb5
124,Quema de Vehículo,vial,PAST,2026-02-22 07:00,2026-02-22 11:00,20.9423423,-101.423833,Aliados en ruta. En proceso de validación,Sujetos hacen un atentado a un vehículo y lo incendian ,756af627-1c29-400d-9e92-8a0f99a2bee1
125,Enfrentamiento Armado,safety,PAST,2026-02-23 00:00,2026-02-23 04:00,20.94969289,-101.4234051,Aliados en ruta. En proceso de validación,"Sujetos armados realizan detonaciones contra un transporte de personal y una patrulla municipal 
Policías municipales repelieron la agresión y evitaron la quema del camión ",fe4eeaf7-8f94-4ba8-bad6-dffedc12e922
126,Sujetos Incendian automóvil,vial,PAST,2026-02-22 19:00,2026-02-22 23:00,20.9424115,-101.423871,Aliados en ruta. En proceso de validación,Sujetos no identificados incendian automóvil ,91015fe9-5c25-4a33-a7f5-67e37e69748d
127,🚨⚠️🔫 Situación de riesgo en Tepic - Mazatlan ,safety,PAST,2026-02-22 17:16,2026-02-23 00:00,22.23518295,-105.3038312,C3ntro,"Situación de riesgo (narcobloqueo con quema de unidades).

*Ubicación de referencia",6527268e-569d-40c0-96b3-d6933df1af61
128,Incendian Oxxo,safety,PAST,2026-02-22 16:19,2026-02-22 20:19,20.96656776,-101.4218883,Aliados en ruta. En proceso de validación,"Sujetos Armados incendian Oxxo, Frente a Parque Industrial y de Negocios Las Colinas ",405eb2ab-617e-488e-b5e1-b2c1cf4a8317
